id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1896932949297451300,https://x.com/I_Am_Winter/status/1896932949297451333,@symplyDAPO @cardtonic Thanks for this,2025-03-04 14:37:00,0,0,1,0,65.0,symplyDAPO,376825,2566,I_Am_Winter
1896930480710385700,https://x.com/Hybrid_Ola/status/1896930480710385755,"@symplyDAPO @cardtonic Thank you for this update
Make sef don try",2025-03-04 14:27:00,0,0,0,0,72.0,symplyDAPO,27997,4667,Hybrid_Ola
1896927173824708900,https://x.com/Wizebaba/status/1896927173824708769,@symplyDAPO @cardtonic Thanks mate,2025-03-04 14:14:00,0,0,1,0,47.0,symplyDAPO,77964,2711,Wizebaba
1896924916374708200,https://x.com/Olalekanakogun/status/1896924916374708295,"'@bigmorsh They’re practically all the same… 4/3/2024 (3pm)
Cardtonic                                               Chipper cash https://t.co/BeQL0ZZQyu",2025-03-04 14:05:00,0,0,0,0,32.0,bigmorsh,17860,7924,Olalekanakogun
1896918348514136000,https://x.com/symplyDAPO/status/1896918348514136089,"Looking for where to  sell your gift cards. Look no further as @cardtonic got you covered😍😍.

Grab their top USA Ebay Gift Rate TODAY at  ₦930/$1💃💃.

#MoneyMarch #UseCardtonic https://t.co/seFvbIAqMN",2025-03-04 13:39:00,76,16,70,2,10816.0,,307469,11960,symplyDAPO
1896917031968223500,https://x.com/Tz_ohhbeejay/status/1896917031968223556,@Richard53797900 @stakerszn @madpinkin CardBrother review for iG no good at all 😂😂 and their rate no too differ from Cardtonic,2025-03-04 13:33:00,0,0,0,1,37.0,Richard53797900,337,440,Tz_ohhbeejay
1896915293982851300,https://x.com/Richard53797900/status/1896915293982851401,@Tz_ohhbeejay @stakerszn @madpinkin Cardtonic slow like crazy and low rate but no reaping . Try CardBrother fast and reliable,2025-03-04 13:27:00,0,1,0,0,38.0,Tz_ohhbeejay,20,46,Richard53797900
1896915012205310200,https://x.com/Richard53797900/status/1896915012205310317,@YSlime_03 @stakerszn @madpinkin 3 years with Cardtonic nothing like scam,2025-03-04 13:25:00,0,1,0,0,32.0,YSlime_03,20,46,Richard53797900
1896896934562185500,https://x.com/topeoziegbe/status/1896896934562185499,@madpinkin Cardtonic anytime,2025-03-04 12:14:00,0,0,0,0,33.0,madpinkin,1059,2168,topeoziegbe
1896894282986131700,https://x.com/mister_YB/status/1896894282986131708,"@bigmorsh Thieves, have dumped them and uninstall their app. Try Grey or Cardtonic.",2025-03-04 12:03:00,0,0,1,0,72.0,bigmorsh,3269,3504,mister_YB
1896874320108093700,https://x.com/Fuckzacky/status/1896874320108093632,@TwoThreeYdk cardtonic,2025-03-04 10:44:00,0,1,0,0,73.0,TwoThreeYdk,2179,888,Fuckzacky
1896847233062150700,https://x.com/Arisade001/status/1896847233062150528,@YSlime_03 @Miguel_is_back @herdeylekan @madpinkin Isswr cuz me I know say Cardtonic Dey come thru,2025-03-04 08:56:00,0,1,0,0,41.0,YSlime_03,18,30,Arisade001
1896834385414140200,https://x.com/bhadman010/status/1896834385414140045,@Miguel_is_back @cardtonic My bro I dey redeem all Valid GC and quick payment ⚡️,2025-03-04 08:05:00,0,0,0,0,39.0,Miguel_is_back,1443,1369,bhadman010
1896830376523575300,https://x.com/Miguel_is_back/status/1896830376523575422,@realyungwizzy @cardtonic Abi make you show me way,2025-03-04 07:49:00,0,0,0,0,27.0,realyungwizzy,298,1375,Miguel_is_back
1896830338816688600,https://x.com/Miguel_is_back/status/1896830338816688535,"Person no trust vendor, person still no fit trust all this app again Nawa ooo… @cardtonic  konidafun yin",2025-03-04 07:49:00,0,4,1,1,329.0,,298,1375,Miguel_is_back
1896795836560134400,https://x.com/JJeffrreyy_/status/1896795836560134430,"@cardtonic Didn’t have Data , I tried withdrawing 1000 points I converted but it didn’t work yesterday …came back today and tried using it to subscribe directly and it worked …Thank you Cardtonic https://t.co/DGfq6FEJG4",2025-03-04 05:32:00,0,1,0,0,13.0,cardtonic,480,653,JJeffrreyy_
